Product_name,Price_in_rupees,Rating_out_of_5,link,.
"LG 29 inch Ultrawide Full HD IPS Gaming, Multitasking Monitor with 1ms Response Rate, 75Hz Refresh Rate - USB C, Display Port, HDMI, VGA - 10 W Inbuilt Speaker - 29UM69G",17571.0,4.3,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A09349143K7NQKT6LR96L&url=%2FLG-29UM69G-Ultrawide-Monitor-SPEAKERS%2Fdp%2FB0793KVRH4%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1610883885%26sr%3D8-1-spons%26psc%3D1&qualifier=1610883885&id=7593991590530877&widgetName=sp_atf,.
"LG Ultragear 24 inch (60.96 cm) 144Hz, Native 1ms Full HD Gaming Monitor with Radeon Freesync - TN Panel with Display Port, HDMI, Height Adjust Stand - 24GL650F (Black)",13499.0,4.3,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06361672UQHXRTN4KA1X&url=%2FLG-Ultragear-Native-Monitor-Freesync%2Fdp%2FB08J5YGC9V%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1610883885%26sr%3D8-2-spons%26psc%3D1&qualifier=1610883885&id=7593991590530877&widgetName=sp_atf,.
"BenQ 54.6 (21.5-inch) LED Backlit Computer Monitor, Full HD, Borderless, IPS Monitor, Brightness Intelligence Technology, Adaptive Eye Care Technology, Dual HDMI and in-Built Speakers - GW2283 (Black)",7990.0,4.4,https://www.amazon.in//BenQ-Borderless-Brightness-Intelligence-Technology/dp/B07LDH32ZP/ref=sr_1_3?dchild=1&keywords=monitor&qid=1610883885&sr=8-3,.
"LG 55cm (22 inch) Gaming Monitor - 1ms, 75Hz, Full HD,  AMD Freesync, TN Panel Monitor, HDMI & VGA Port - 22MK400H (Black)",7636.0,4.1,https://www.amazon.in//LG-22-inch-Gaming-Monitor/dp/B083Y3TYJC/ref=sr_1_4?dchild=1&keywords=monitor&qid=1610883885&sr=8-4,.
"LG 22 inch (55cm) IPS Monitor - Full HD, IPS Panel with VGA, HDMI, DVI, Audio Out Ports - 22MP68VQ",8499.0,4.4,https://www.amazon.in//LG-inch-55cm-LCD-Monitor/dp/B01IBM5V66/ref=sr_1_5?dchild=1&keywords=monitor&qid=1610883885&sr=8-5,.
"Dell 21.5-inch (54.6 cm) LED Backlit Computer Monitor - Full HD, TN Panel with VGA, HDMI Ports - E2218HN (Black)",7078.0,4.3,https://www.amazon.in//Dell-21-5-inch-54-6-Monitor/dp/B07436JM87/ref=sxin_9?ascsubtag=amzn1.osa.24a9052e-caa5-4959-ab69-b02a2b4fb559.A21TJRUUN4KGV.en_IN&creativeASIN=B07436JM87&cv_ct_cx=monitor&cv_ct_id=amzn1.osa.24a9052e-caa5-4959-ab69-b02a2b4fb559.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=monitor&linkCode=oas&pd_rd_i=B07436JM87&pd_rd_r=262c6559-34b1-46fd-b9c2-c036b1e0ebcb&pd_rd_w=mGEFm&pd_rd_wg=kMMK3&pf_rd_p=2e205f58-a178-467b-b158-e683757b4b34&pf_rd_r=7TZQ231SKPKRDB6SGJCB&qid=1610883885&sr=1-1-483c64d8-df78-4008-ae20-e69f683e58b1&tag=technologytoday-21,.
"LG UltraGear 60.96 cm(24 inch ) 144Hz, Native 1ms Full HD Gaming Monitor with Radeon Freesync - TN Panel with Display Port, HDMI, Headphone Out - 24GL600F (Black)",13401.0,4.2,https://www.amazon.in//LG-Ultragear-Gaming-Monitor-Freesync/dp/B07S146CB6/ref=sxin_9?ascsubtag=amzn1.osa.24a9052e-caa5-4959-ab69-b02a2b4fb559.A21TJRUUN4KGV.en_IN&creativeASIN=B07S146CB6&cv_ct_cx=monitor&cv_ct_id=amzn1.osa.24a9052e-caa5-4959-ab69-b02a2b4fb559.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=monitor&linkCode=oas&pd_rd_i=B07S146CB6&pd_rd_r=262c6559-34b1-46fd-b9c2-c036b1e0ebcb&pd_rd_w=mGEFm&pd_rd_wg=kMMK3&pf_rd_p=2e205f58-a178-467b-b158-e683757b4b34&pf_rd_r=7TZQ231SKPKRDB6SGJCB&qid=1610883885&sr=1-2-483c64d8-df78-4008-ae20-e69f683e58b1&tag=technologytoday-21,.
"BenQ 54.6 (21.5-inch) LED Backlit Computer Monitor, Full HD, Borderless, IPS Monitor, Brightness Intelligence Technology, Adaptive Eye Care Technology, Dual HDMI and in-Built Speakers - GW2283 (Black)",7990.0,4.4,https://www.amazon.in//BenQ-Borderless-Brightness-Intelligence-Technology/dp/B07LDH32ZP/ref=sxin_9?ascsubtag=amzn1.osa.24a9052e-caa5-4959-ab69-b02a2b4fb559.A21TJRUUN4KGV.en_IN&creativeASIN=B07LDH32ZP&cv_ct_cx=monitor&cv_ct_id=amzn1.osa.24a9052e-caa5-4959-ab69-b02a2b4fb559.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=monitor&linkCode=oas&pd_rd_i=B07LDH32ZP&pd_rd_r=262c6559-34b1-46fd-b9c2-c036b1e0ebcb&pd_rd_w=mGEFm&pd_rd_wg=kMMK3&pf_rd_p=2e205f58-a178-467b-b158-e683757b4b34&pf_rd_r=7TZQ231SKPKRDB6SGJCB&qid=1610883885&sr=1-3-483c64d8-df78-4008-ae20-e69f683e58b1&tag=technologytoday-21,.
"Acer Aopen 23.8-inch Full HD VA Panel Backlit LED LCD Monitor with HDMI & VGA Ports, 250 Nits, Wide View Angle - 24CH3Y (Black)",7014.0,3.6,https://www.amazon.in//Acer-Aopen-24CH3Y-Panel-Monitor/dp/B082H3Q5RF/ref=sxin_9?ascsubtag=amzn1.osa.24a9052e-caa5-4959-ab69-b02a2b4fb559.A21TJRUUN4KGV.en_IN&creativeASIN=B082H3Q5RF&cv_ct_cx=monitor&cv_ct_id=amzn1.osa.24a9052e-caa5-4959-ab69-b02a2b4fb559.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-earns-comm&dchild=1&keywords=monitor&linkCode=oas&pd_rd_i=B082H3Q5RF&pd_rd_r=262c6559-34b1-46fd-b9c2-c036b1e0ebcb&pd_rd_w=mGEFm&pd_rd_wg=kMMK3&pf_rd_p=2e205f58-a178-467b-b158-e683757b4b34&pf_rd_r=7TZQ231SKPKRDB6SGJCB&qid=1610883885&sr=1-4-483c64d8-df78-4008-ae20-e69f683e58b1&tag=technologytoday-21,.
"Samsung 59.8 cm (23.5 inch) Curved LED Backlit Computer Monitor - Full HD, VA Panel with VGA, HDMI, Audio Ports - LC24F390FHWXXL (Black)",9499.0,4.3,https://www.amazon.in//Samsung-23-5-inch-Curved-Monitor/dp/B01GFPGHSM/ref=sr_1_6?dchild=1&keywords=monitor&qid=1610883885&sr=8-6,.
